acid free,subclass of,paper
speaker elect melinda,hold,md
reproduction,subclass of,unauthorized us
american psychiatric association,instance of,citation
va,contain,arlington
reproduction,subclass of,unauthorized us
prohibit,facet of,american psychiatric association
fifth edition,part of,diagnostic and statisti cal manual of mental disorder
american psychiatric publishing,location,arlington va
copyright,apply to,apa
jeffrey akaka,hold,md
insomnia,have,daytime sleepiness
diagnos tic criterion,facet of,mental disorder
mental disorder,instance of,classification
diagnos tic criterion,part of,dsm
clinical practice,practice by,clinician
clinician,subclass of,practitioner
dsm,have,diagnos tic criterion
primary care,subclass of,clinical setting
psychologist,subclass of,health professional
physician,subclass of,health professional
dsl-5,use,com rate
outpatient,subclass of,clinical setting
dsm-5,instance of,textbook
clinical practice,practice by,clinician
inpatient,subclass of,clinical setting
patient,practice by,clinician
psychiatrist,subclass of,health professional
counselor,subclass of,health professional
social worker,subclass of,health professional
consul tation liaison,subclass of,clinical setting
primary care,subclass of,clinical
partial hospital,subclass of,clinical setting
mental health care,practice by,clinician
mental health care,subclass of,health professional
dsm-5,have,icd lo cm
diagnosis,facet of,disorder
diagnosis,facet of,developmental issue
symptom presentation,facet of,disease
symptom presentation,facet of,age relate factor specific to diagnosis
neuroimag ing,part of,genetic
autism spectrum disorder,have,asperger 's disorder
genetic vulnerability,facet of,neurocircuitry
genetic vulnerability,facet of,genetic
autism spectrum disorder,subclass of,social commu der
asperger 's disorder,subclass of,autism spectrum disorder
social commu der,subclass of,impairment
autistic disorder,subclass of,autism spectrum disorder
fea ture,subclass of,anxious distress
depressive,subclass of,disorder
disorder,study by,psychiatry
bipolar,subclass of,disorder
bipolar ii disorder,different from,bipolar i disorder
depre-,subclass of,bipolar
fea ture,subclass of,specifi variation
clinical,have,educational use
depre sive,subclass of,disorder
bipolar i disorder,different from,bipolar ii disorder
educational use,part of,clinical
psychiatry,study,disorder
addiction,different from,dependence
alzheimer 's disease,instance of,subtype
neuropsychology,part of,neuroscience
neuroscience,have,brain imaging
substance use disorder,have,restructuring of substance use disorder
restructuring of substance use disorder,facet of,substance use disorder
dependence,different from,addiction
mild,subclass of,neurocognitive disorder
hun tington 's disease,instance of,subtype
0,part of,dsm s
neuroscience,have,neuropsychology
substance use disorder,subclass of,disorder
brain imaging,part of,neuroscience
personality disorder,study by,edi tion
edi tion,study,personality disorder
dsm s,follow,previous edition
pathological personality,subclass of,disorder
transition,facet of,personality disorder
trait,part of,personality
section iii,part of,section 111
section 111,part of,disorder and feature
cultural formulation interview,have,cul tural formulation interview
section iii,part of,official classification of mental disorder
dsm-5,have,online supplemental information
disorder,study by,psychiatric
online supplemental information,part of,dsm-5
symptom domain,facet of,symptom severity
dsm-5,instance of,supplemental information
psychiatric,study,disorder
cul tural formulation interview,part of,cultural formulation interview
disorder,study by,psychiatric
apa division of re search,part of,apa
division of re search,organization,apa
rhit,part of,ccs p
ccs p,have,rhit
review process,facet of,bly
james h. scully ir . m.d .,hold,ceo of the apa
section ii,part of,dsm-5
ual,part of,man
diagnostic and statistical manual ofmental disorder,have,dsm s
dsm-5,part of,dsm s
recognition,subclass of,observation
diag nostic criterion,facet of,validity of a diagnosis
dsm,instance of,diagnostic classification system
dsm-5,follow,dsm iv tr
patient care for,facet of,hospital
subtype,subclass of,diagnostic criterion
dsm-5,follow,dsm iv
dsm iv,have,not otherwise specify
diagnostic reliability,facet of,diagnosis
diagnosis,use by,clinician
diagnostic area,use by,literature review
literature review,use,diagnostic area
not otherwise specify,part of,dsm iv
clinical utility,facet of,public health
dsm,have,dsm s
academic,have,clinical practice
clinical practice,part of,academic
disorder,subclass of,diagnose
symptom,study by,psychological
dsm s,have,diagnostic checklist
clinical interview,practice by,clinician
diagnostic checklist,part of,dsm s
text editor,use,preparation
scientific review committee,field of,peer review
accompany text,have,diagnostic criterion
concurrent validator,subclass of,validator
scientific evidence,use by,peer review
division of research,organization,apa
diagnostic criterion,part of,accompany text
text editor,use,text coor dinator
apa,subsidiary,division of research
clinical experience,have,need
dsm iv,have,dsm revision process
apa,have,board of trustee
cphc,organization,apa
board of trustee,part of,apa
clinical utility,facet of,public health
reification,subclass of,conceptual change
relate disorder,have,somatic symptom
somatic symptom,subclass of,disorder
apa council on psychiatry and law,part of,council on psychiatry and law
council on psychiatry and law,have,apa council on psychiatry and law
un dergone field testing,part of,scientific review
scientific review,have,un dergone field testing
apa,have,board of trustee
board of trustee,part of,apa
dsm-5,date,december 2012
psychological,have,physiological
research community,part of,clinical
physiological,part of,psychological
research,part of,clinical
clinical,have,research community
clinical,have,research
personality and personality,part of,dsm s
dsm iv tr,have,personality and personality
dsm s,have,personality and personality
organizational structure,part of,classification
two classification,facet of,sci entific
disorder work group,instance of,work group
classification,have,organizational structure
icd-11,follow,dsm s
research initiative,part of,clin ical practice
psychopathology,subclass of,disorder
icd classi fication,different from,dsm
disorder,have,psychopathology
comorbidity,study by,epidemiology
icd,different from,dsm
dsm,different from,icd
dsm,different from,icd classi fication
clinical utility,facet of,clinical decision make
somatic symptom,subclass of,comorbiditie
anxiety,subclass of,comorbiditie
anxiety,subclass of,symptom
depressive,subclass of,comorbiditie
depressed mood,subclass of,symptom
research,part of,clinical practice
impulse control disorder,subclass of,disorder
conduct disturbance,subclass of,disorder
impulse control disorder,subclass of,disorder
addiction,subclass of,disorder
symptom heterogeneity,subclass of,comorbidity
neurocognitive disorder,subclass of,disorder
young adulthood,follow,adolescence
schizophrenia,subclass of,psychotic disorder
lifespan consider ation,part of,developmental
developmental,have,lifespan consider ation
cultural,part of,social
sign,use by,diagnosis
social,have,cultural
transmit,part of,culture
sign,facet of,mental disorder
behavior,use by,diagnosis
symptom,use by,diagnosis
behavior,facet of,mental disorder
dsm-5,have,icd harmonization
re vise,part of,culture
symptom,facet of,mental disorder
sociocultural norm,part of,culture
diagnosis,use,behavior
icd harmonization,have,dsm-5
cul ture of origin,facet of,sociocultural norm
diagnosis,use,sign
icd harmonization,part of,dsm-5
behavior,have,symptom
cultural,have,tradition
tradition,part of,cultural
panic disorder,subclass of,fear
behavior,have,symptom
health anxiety,subclass of,fear
culture bind syndrome,study by,cultural psychiatry
label,facet of,illness
complementary health system,subclass of,health care
cultural syndrome,subclass of,symptom
cultural psychiatry,study,culture bind syndrome
cultural psychiatry,study,culture
clinical encounter,practice by,clinician
symptom,different from,syndrome
cultural idiom of distress,instance of,linguistic term
clinical encounter,facet of,illness
symptom,different from,syndrome
suffer,different from,mental disorder
mental disorder,different from,suffer
causal explanation,facet of,folk classi
suffer,subclass of,discomfort
cultural explanation,subclass of,explanatory model
symptomatology,part of,clinical presentation
mental disorder,subclass of,disease
premenstrual dysphoric disor der,facet of,gender
psychiatric diagnosis,study,disorder
postpartum onset of mania,instance of,specifi
premenstrual dysphoric disor der,instance of,disorder
symptom,facet of,disorder
reproductive life cycle,have,estrogen
disorder,study by,psychiatric diagnosis
premenstrual dysphoric disor der,instance of,mental disorder
symptom,facet of,mental disorder
gender,have,illness
section i,part of,use of the manual
axis ii,part of,dsm iv
axis iii,part of,dsm iv
axis v,follow,ii
axis i,part of,dsm s
axis iii,part of,dsm-5
axis v,part of,dsm s
use of the manual,have,section i
axis i,part of,dsm iv
iii disorder and condition,part of,dsm iv
the multiaxial system,part of,dsm iv
dsm iv,have,global assessment of function ( gaf ) scale
dsm iv,have,global assessment of function
health care,facet of,medicine
disorder,study by,psychiatric
whoda,base on,interna tional classification of functioning disability and health
cultural formulation interview informant version,part of,cultural formulation interview
clinical rating scale,subclass of,measure
clinical rating scale and measure,part of,dsm s
dsm s,have,clinical rating scale and measure
dsm s,instance of,revision
clinical course,have,sign and symptom
sign and symptom,part of,clinical course
sign and symptom,subclass of,symptom
dsm-5,subject,mental disorder
clinician,field of,clinical practice
par-,facet of,dsm-5
approach to clinical case formulation,facet of,clinical case formulation
clinical practice,practice by,clinician
behavioral,subclass of,underlie disorder
symptom,part of,diagnostic criterion
emotional,subclass of,symptom
clinical judgment,use,diagnosis
con cise,part of,clinical history
diagnostic criterion,have,symptom
evidence base treatment,subclass of,treatment
developmental process,part of,biological
mental disorder,have,signif icant distress
mental disorder,cause,signif icant distress
emotion regulation,facet of,cognition
behavior,facet of,cognition
cognition,part of,mental functioning
emotion regulation,part of,behavior
social,part of,society
behavior,have,emotion regulation
mental disorder,different from,socially deviant
socially deviant,different from,mental disorder
psychological,part of,biological
mental functioning,have,cognition
mental functioning,have,behavior
biological,have,developmental process
society,have,social
concurrent,subclass of,evidence
suicidal ideation,subclass of,psychiatric symptom
antecedent,subclass of,evidence
treatment,part of,clinic
clinical utility,use by,clinician
suicidal ideation,instance of,symptom
biomarker,subclass of,evidence
diagnosis,use,symptom
prognosis,facet of,clinical utility
symptom,use by,diagnosis
manual 21,have,use of the manual 21
in ternational classification of disease,different from,in ternational classification of functioning disability and health
in ternational classification of disease,part of,who system
in ternational classification of functioning disability and health,part of,who system
disability,different from,mental disorder
in ternational classification of functioning disability and health,different from,in ternational classification of disease
information,have,third party
third party,part of,information
impairment,subclass of,disability
specifier,subclass of,diagnostic criterion
severity and course specifier,subclass of,diagnostic criterion
cri teria,have,specifi
jointly exhaustive,different from,mutually exclusive
specifi,part of,cri teria set
exhaus tive,subclass of,phenomenological subgrouping
sleep wake disorder,subclass of,comorbidity
mutually exclusive,different from,jointly exhaustive
specifi,part of,cri teria
exhaus tive,subclass of,phenomenological
environmental factor,part of,psychosocial
psychosocial,have,environmental factor
schizophrenia,instance of,non substance relate diagnosis
outpatient set,subclass of,ambulatory care medical service
outpatient set,opposite of,inpatient set
outpatient set,subclass of,ambulatory care
private insurance service claim,part of,cms
cms,have,private insurance service claim
mortality rate,facet of,health statistic
scientific evidence,facet of,clinical use
cross cutting symptom and diagnosis specific severity measure,instance of,quantitative rating
scientific evidence,facet of,scientific advance in these area
dsm-5,have,forensic use of dsm-5
decision making,facet of,legal issue
involuntary civil commitment,subclass of,legal determination
dsm s,instance of,compendium
schizophrenia,instance of,clinical diagnosis
clinical diagno sis,part of,law
dsm s,use,forensic setting
schizophrenia,part of,dsm-5
disability,different from,impairment
intellec tual disability,part of,dsm-5
gambling disorder,instance of,clinical diagnosis
pedophilic disorder,instance of,clinical diagnosis
gambling disorder,part of,dsm-5
pedophilic disorder,part of,dsm-5
dsm-5,have,dsm s
intellectual developmental disorder,instance of,clinical diagnosis
functional impairment,subclass of,impairment
intellectual developmental disorder,part of,dsm-5
dsm s,part of,dsm-5
major neurocognitive disorder,instance of,clinical diagnosis
major neurocognitive disorder,part of,dsm-5
impairment,different from,disability
law,have,clinical diagno sis
descriptive text,follow,diagnostic criterion
symptom,subclass of,clinical presentation
impairment of personal social academic or occupational functioning,subclass of,developmental deficit
learn,part of,grade school
grade school,part of,development
intellectual developmental disorder,subclass of,intellectual disability
developmental period,part of,development
attention deficit hyperactivity disorder,subclass of,learn disorder
development,have,developmental period
early in development,subclass of,disorder
acquire insult,have,intellectual disability
intellectual learning,have,learn from experience
learn from experience,subclass of,learn
learn from experience,part of,intellectual learning
neurodevelopmental disorder,have,communication disorder
childhood onset fluency disorder,subclass of,communication disorder
language,part of,social communication
childhood onset fluency disorder,subclass of,communication disorder
language,have,speech
syllable,subclass of,sound
autism spectrum disorder,subclass of,neurodevelopmental disorder
social communication,have,language
speech sound disorder,subclass of,communication disorder
language disorder,subclass of,communication disorder
speech,part of,language
so cial ( pragmatic ) communication disorder,subclass of,communication disorder
language disorder,subclass of,communication disorder
speech sound disorder,subclass of,communication disorder
communication disorder,subclass of,neurodevelopmental disorder
so cial ( pragmatic ) communication disorder,subclass of,communication disorder
nonverbal,subclass of,communication
clinical description,facet of,diagnosis
hyperactivity,subclass of,impuisivity
conduct disorder,subclass of,externalize disorder
oppositional defiant disorder,instance of,disorder
fidget,subclass of,hyperactivity impuisivity
occupational functioning,subclass of,impairment
conduct disorder,instance of,disorder
fidget,subclass of,hyperactivity
oppositional defiant disorder,subclass of,externalize disorder
inattention,subclass of,disorganization
stereotypic movement dis order,have,hit
motor or vocal tic disorder,subclass of,tic disorder
tic disorder,subclass of,neurodevelopmental motor disorder
tourette 's disorder,subclass of,tic disorder
motor,subclass of,tic disorder
mo tor,subclass of,motor skill
tourette 's disorder,subclass of,motor
self bite,subclass of,stereotypic movement dis order
read,part of,foundational academic skill
intellec tually gifted,subclass of,specific learn disorder
academic skill,have,math
academic skill,have,performance
math,part of,foundational academic skill
etiology,part of,medical
symptomatology,part of,clinical course
academic learning,subclass of,intellectual function
learn from experience,subclass of,intellectual function
abstract thinking,subclass of,intellectual function
developmental period,have,adaptive
023 m,part of,9806000
9806000,have,023 m
developmental period,part of,criterion c
intelligence,part of,intellectual functioning
intellectual functioning,have,intelligence
criterion c,part of,developmental period
standard deviation,different from,population mean
language,part of,communi cation
neuropsychological testing,study,intellectual ability
adaptive behavior problem,subclass of,adaptive functioning
native language,part of,ciocultural
intellectual ability,study by,neuropsychological testing
conceptual functioning,subclass of,reasoning
neuropsychological testing,study,cognitive profile
academic,study,knowledge
self management of behavior,subclass of,learn
adaptive functioning,facet of,adaptive reasoning
criterion b,facet of,adaptive functioning
knowledge,study by,academic
intellectual capacity,have,learn
individualized,subclass of,psychometrically sound measure
psychometrically sound measure,use by,clinical evaluation
clinical evaluation,use,psychometrically sound measure
sensory impairment,subclass of,intellectual disability
diag nosed,subclass of,intellectual disability
emotion,facet of,interpersonal relationship
childhood,part of,developmental period
multiple cause,facet of,intellectual disability
developmental period,have,adolescence
adolescence,part of,developmental period
delay motor language and social milestone,subclass of,intellectual disability
mental disor der,subclass of,intellectual disability
suicide attempt,subclass of,suicide
lack of awareness of risk and danger,have,accidental injury
intellectual disability,have,mental disor der
severe intellectual disability,subclass of,intellectual disability
academic learning,part of,school age
suicide attempt,facet of,suicide
delay motor language and social milestone,facet of,intellectual disability
developmental period,facet of,intellectual disability
suicidal,subclass of,thought
down syndrome,instance of,genetic syndrome
down syndrome,subclass of,genetic syndrome
lesch nyhan syndrome,instance of,phenotype
culture,different from,race
placental disease,subclass of,maternal disease
linguistic,part of,cultural
physiological,part of,genetic
genetic,have,physiological
neonatal encephalopathy,subclass of,perinatal cause
lead,have,intoxication
severe,subclass of,intellectual disability
mild,subclass of,intellectual disability
iq score in autism spectrum disorder may be unstable,facet of,autism spectrum disorder
so cial communication,facet of,autism spectrum disorder
adaptive behavior,different from,intellectual
